NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
506,200,TELUS Integrated Communications,2782,In Service,Edmundston,
506,201,TELUS Integrated Communications,2782,In Service,Caraquet,
506,202,Aliant Telecom(NB),8090,In Service,Saint John,
506,203,Rogers Communications Canada Inc. (Cable),743B,In Service,Hillsborough,
506,204,Rogers Communications Canada Inc. (Cable),743B,In Service,Moncton,
506,205,Rogers Communications Canada Inc. (Cable),743B,In Service,Port Elgin,
506,206,Rogers Communications Canada Inc. (Cable),743B,In Service,Fredericton,
506,207,,,Not Available,,Not available iaw Section 3.7 f) of CO Code Guidelines
506,208,Rogers Communications Canada Inc. (Cable),743B,In Service,Oromocto,
506,209,Rogers Communications Canada Inc. (Cable),743B,In Service,Keswick,
506,210,Rogers Communications Canada Inc. (Wireless),8821,In Service,Miramichi,
506,211,,,For Special Use,,Public Information and Referral Services
506,212,Rogers Communications Canada Inc. (Wireless),8821,In Service,Richibucto,
506,213,Rogers Communications Canada Inc. (Cable),743B,In Service,Dorchester,
506,214,Rogers Communications Canada Inc. (Cable),743B,In Service,Saint John,
506,215,Rogers Communications Canada Inc. (Cable),743B,In Service,Salisbury,
506,216,Rogers Communications Canada Inc. (Cable),743B,In Service,Rothesay,
506,217,Rogers Communications Canada Inc. (Cable),743B,In Service,Grand Bay-Westfield,
506,218,Rogers Communications Canada Inc. (Wireless),8821,In Service,Shippagan,
506,219,Rogers Communications Canada Inc. (Wireless),8821,In Service,Plaster Rock,
506,220,Rogers Communications Canada Inc. (Wireless),8821,In Service,Neguac,
506,221,Rogers Communications Canada Inc. (Wireless),8821,In Service,Florenceville,
506,222,Rogers Communications Canada Inc. (Wireless),8821,In Service,St. George,
506,223,Rogers Communications Canada Inc. (Wireless),8821,In Service,Edmundston,
506,224,Rogers Communications Canada Inc. (Wireless),8821,In Service,Dorchester,
506,225,Rogers Communications Canada Inc. (Wireless),8821,In Service,Doaktown,
506,226,Rogers Communications Canada Inc. (Wireless),8821,In Service,Bathurst,
506,227,TELUS Mobility,8303,In Service,Moncton,
506,228,Aliant Telecom(NB),8090,In Service,Baie-Sainte Anne,
506,229,TELUS Mobility,8303,In Service,Moncton,
506,230,TELUS Mobility,8303,In Service,Fredericton,
506,231,,,Available,,Available outside Fort Kent: Maine EAS
506,232,TELUS Mobility,8303,In Service,Moncton,
506,233,TELUS Mobility,8303,In Service,Moncton,
506,234,Aliant Telecom(NB),8090,In Service,Saint-Quentin,
506,235,Aliant Telecom(NB),8090,In Service,Saint-Quentin,
506,236,TELUS Integrated Communications,2782,In Service,Shediac,
506,237,Aliant Telecom(NB),8090,In Service,Belledune,
506,238,Bell Mobility Aliant,329A,In Service,Fredericton,
506,239,TELUS Integrated Communications,2782,In Service,Dalhousie,
506,240,TELUS Integrated Communications,2782,In Service,Grand Falls,
506,241,TELUS Integrated Communications,2782,In Service,Saint-Quentin,
506,242,TELUS Integrated Communications,2782,In Service,Shippagan,
506,243,TELUS Integrated Communications,2782,In Service,Woodstock,
506,244,TELUS Integrated Communications,2782,In Service,Richibucto,
506,245,Bell Mobility Aliant,329A,In Service,Florenceville,
506,246,Aliant Telecom(NB),8090,In Service,Florenceville,
506,247,TELUS Integrated Communications,2782,In Service,Fredericton,
506,248,TELUS Integrated Communications,2782,In Service,Campbellton,
506,249,TELUS Integrated Communications,2782,In Service,St. Stephen,
506,250,TELUS Integrated Communications,2782,In Service,Tracadie,
506,251,TELUS Mobility,8303,In Service,Miramichi,
506,252,TELUS Mobility,8303,In Service,Bathurst,
506,253,TELUS Mobility,8303,In Service,Edmundston,
506,254,Aliant Telecom(NB),8090,In Service,Edmundston,
506,255,TELUS Integrated Communications,2782,In Service,Bathurst,
506,256,TELUS Integrated Communications,2782,In Service,Sackville,
506,257,,,Not Available,,Not available iaw Section 3.7 of CO Code Guidelines: Future Canadian Geographic NPA
506,258,Aliant Telecom(NB),8090,In Service,Baker Brook,
506,259,TELUS Mobility,8303,In Service,Fredericton,
506,260,TELUS Mobility,8303,In Service,Fredericton,
506,261,TELUS Mobility,8303,In Service,Fredericton,
506,262,TELUS Mobility,8303,In Service,Fredericton,
506,263,Aliant Telecom(NB),8090,In Service,Saint Basile,
506,264,Aliant Telecom(NB),8090,In Service,Miramichi,
506,265,Comwave Networks,160G,In Service,Bathurst,
506,266,Comwave Networks,160G,In Service,Saint John,
506,267,Comwave Networks,160G,In Service,Fredericton,
506,268,Comwave Networks,160G,In Service,Moncton,
506,269,,,Available,,
506,270,Comwave Networks,160G,In Service,Grand Bay-Westfield,
506,271,,,Available,,
506,272,Aliant Telecom(NB),8090,In Service,Meductic,
506,273,Aliant Telecom(NB),8090,In Service,Perth-Andover,
506,274,Bell Mobility Aliant,329A,In Service,Perth-Andover,
506,275,,,Available,,
506,276,Aliant Telecom(NB),8090,In Service,Florenceville,
506,277,Aliant Telecom(NB),8090,In Service,Woodstock,
506,278,Aliant Telecom(NB),8090,In Service,Florenceville,
506,279,Aliant Telecom(NB),8090,In Service,Meductic,
506,280,Bell Mobility Aliant,329A,In Service,Perth-Andover,
506,281,,,Available,,
506,282,,,Available,,
506,283,Bell Mobility Aliant,329A,In Service,Kedgwick,
506,284,Aliant Telecom(NB),8090,In Service,Kedgwick,
506,285,Bragg Communications Inc.,421G,In Service,Saint John,
506,286,,,Available,,
506,287,,,Available,,
506,288,Rogers Communications Canada Inc. (Cable),743B,In Service,Saint John,
506,289,,,Available,,
506,290,,,Available,,
506,291,Rogers Communications Canada Inc. (Wireless),8821,In Service,Bouctouche,
506,292,Rogers Communications Canada Inc. (Wireless),8821,In Service,Fredericton,
506,293,,,Available,,
506,294,Bragg Communications Inc.,421G,In Service,Moncton,
506,295,Bragg Communications Inc.,421G,In Service,Moncton,
506,296,,,Available,,
506,297,,,Available,,Available outside the Sackville EAS area
506,298,,,Available,,
506,299,,,Available,,
506,300,Iristel Inc.,154E,In Service,Fredericton,
506,301,,,New Entrants Reserved,,Reserved New Entrants iaw Telecom Decision CRTC 2016-206 - Can be made available upon request
506,302,,,New Entrants Reserved,,Reserved New Entrants iaw Telecom Decision CRTC 2016-206 - Can be made available upon request
506,303,,,New Entrants Reserved,,Reserved New Entrants iaw Telecom Decision CRTC 2016-206 - Can be made available upon request
506,304,Bragg Communications Inc.,421G,In Service,Fredericton,
506,305,,,Available,,
506,306,Iristel Inc.,154E,In Service,Edmundston,
506,307,Iristel Inc.,154E,In Service,Miramichi,
506,308,,,Available,,
