NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
249,200,Iristel Inc.,154E,In Service,Espanola,
249,201,Iristel Inc.,154E,In Service,Espanola,
249,202,,,Available,,
249,203,Bell Canada,8051,In Service,Sudbury,
249,204,Navigata Communications Limited,078G,In Service,Pefferlaw,
249,205,Navigata Communications Limited,078G,In Service,Udora,
249,206,Distributel,082E,Assigned,Alban,
249,207,,,Available,,
249,208,,,Available,,
249,209,,,Available,,
249,210,,,Available,,Available outside Gore Bay EAS
249,211,,,For Special Use,,Public Information and Referral Services
249,212,,,Available,,
249,213,TELUS Integrated Communications,2782,In Service,McKellar,
249,214,TELUS Integrated Communications,2782,In Service,Verner,
249,215,TELUS Integrated Communications,2782,In Service,Sturgeon Falls,
249,216,TELUS Integrated Communications,2782,In Service,Huntsville,
249,217,TELUS Integrated Communications,2782,In Service,Espanola,
249,218,TELUS Integrated Communications,2782,In Service,Bracebridge,
249,219,TELUS Integrated Communications,2782,In Service,Parry Sound,
249,220,TELUS Integrated Communications,2782,In Service,Stayner,
249,221,TELUS Integrated Communications,2782,In Service,Alliston,
249,222,TELUS Integrated Communications,2782,In Service,Rosseau,
249,223,TELUS Integrated Communications,2782,In Service,Moonstone,
249,224,TELUS Integrated Communications,2782,In Service,Otter Lake,
249,225,TELUS Integrated Communications,2782,In Service,Collingwood,
249,226,,,Not Available,,Not available - existing Canadian NPA
249,227,TELUS Integrated Communications,2782,In Service,Borden-Angus,
249,228,Bell Canada,8051,In Service,Huntsville,
249,229,TELUS Integrated Communications,2782,In Service,Azilda,
249,230,TELUS Integrated Communications,2782,In Service,Blezard Valley,
249,231,TELUS Integrated Communications,2782,In Service,Capreol,
249,232,TELUS Integrated Communications,2782,In Service,Chelmsford,
249,233,TELUS Integrated Communications,2782,In Service,Coniston,
249,234,TELUS Integrated Communications,2782,In Service,Espanola,
249,235,TELUS Integrated Communications,2782,In Service,Garson,
249,236,TELUS Integrated Communications,2782,In Service,Hanmer,
249,237,TELUS Integrated Communications,2782,In Service,Levack,
249,238,TELUS Integrated Communications,2782,In Service,Lively,
249,239,TELUS Integrated Communications,2782,In Service,Sudbury,
249,240,TELUS Integrated Communications,2782,In Service,Whitefish,
249,241,TELUS Integrated Communications,2782,In Service,Pefferlaw,
249,242,Distributel,082E,Assigned,Hanmer,
249,243,Distributel,082E,Assigned,Hawk Junction,
249,244,Distributel,082E,Assigned,Levack,
249,245,Distributel,082E,Assigned,Killarney,
249,246,Distributel,082E,Assigned,Lively,
249,247,Distributel,082E,Assigned,Little Current,
249,248,Distributel,082E,Assigned,Markstay,
249,249,,,Not Available,,Home NPA
249,250,Distributel,082E,Assigned,Massey,
249,251,TELUS Integrated Communications,2782,In Service,Brechin,
249,252,TELUS Integrated Communications,2782,In Service,Cookstown,
249,253,TELUS Integrated Communications,2782,In Service,Creemore,
249,254,TELUS Integrated Communications,2782,In Service,Elmvale,
249,255,TELUS Integrated Communications,2782,In Service,Lafontaine,
249,256,TELUS Integrated Communications,2782,In Service,Penetanguishene,
249,257,TELUS Integrated Communications,2782,In Service,Port McNicoll,
249,258,TELUS Integrated Communications,2782,In Service,Severn Bridge,
249,259,TELUS Integrated Communications,2782,In Service,Stroud,
249,260,,,Available,,
249,261,TELUS Integrated Communications,2782,In Service,Wasaga Beach,
249,262,TELUS Integrated Communications,2782,In Service,Waubaushene,
249,263,Distributel,082E,Assigned,Missanabie,
249,264,Distributel,082E,Assigned,Noelville,
249,265,Comwave Networks,160G,In Service,Oba,
249,266,Comwave Networks,160G,In Service,Sudbury,
249,267,Comwave Networks,160G,In Service,Warren,
249,268,Comwave Networks,160G,In Service,Wawa,
249,269,Comwave Networks,160G,In Service,Whitefish Falls,
249,270,Distributel,082E,Assigned,Azilda,
