NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
780,200,Freedom Mobile Inc.,383F,In Service,Edmonton,
780,201,TELUS Mobility,8301,In Service,Bonnyville,
780,202,TELUS Mobility,8301,In Service,Drayton Valley,
780,203,TELUS Mobility,8301,In Service,Edmonton,
780,204,TELUS Mobility,8301,In Service,Whitecourt,
780,205,TELUS Mobility,8301,In Service,Lloydminster,
780,206,TELUS Mobility,8301,In Service,Westlock,
780,207,TELUS Mobility,8301,In Service,Bonnyville,
780,208,TELUS Mobility,8301,In Service,Vegreville,
780,209,TELUS Mobility,8301,In Service,Czar,
780,210,TELUS Mobility,8301,In Service,St. Paul,
780,211,,,For Special Use,,Public Information and Referral Services
780,212,TELUS Mobility,8301,In Service,Boyle,
780,213,TELUS,8084,In Service,Boyle,
780,214,TELUS Mobility,8301,In Service,Lloydminster,
780,215,TELUS Mobility,8301,In Service,Fort McMurray,
780,216,TELUS Mobility,8301,In Service,Millet,
780,217,TELUS Mobility,8301,In Service,Edmonton,
780,218,TELUS Mobility,8301,In Service,Edmonton,
780,219,TELUS Mobility,8301,In Service,Peace River,
780,220,TELUS Mobility,8301,In Service,Edmonton,
780,221,TELUS Mobility,8301,In Service,Edmonton,
780,222,TELUS Mobility,8301,In Service,Edmonton,
780,223,TELUS Mobility,8301,In Service,Hinton,
780,224,Rogers Communications Canada Inc. (Wireless),8821,In Service,Edmonton,
780,225,TELUS Mobility,8301,In Service,Edson,
780,226,Bell Mobility,6574,In Service,Camrose,
780,227,TELUS Mobility,8301,In Service,St. Paul,
780,228,Bell Mobility,6574,In Service,Grande Prairie,
780,229,Allstream Inc.,8304,In Service,Edmonton,
780,230,Allstream Inc.,8304,In Service,Grande Prairie,
780,231,Bell Mobility,6574,In Service,Edmonton,
780,232,Bell Mobility,6574,In Service,Edmonton,
780,233,Bell Mobility,6574,In Service,Edmonton,
780,234,Bell Mobility,6574,In Service,Drayton Valley,
780,235,Bell Mobility,6574,In Service,Edmonton,
780,236,Bell Mobility,6574,In Service,Edmonton,
780,237,Bell Mobility,6574,In Service,Edmonton,
780,238,Bell Mobility,6574,In Service,Edmonton,
780,239,Bell Mobility,6574,In Service,Edmonton,
780,240,Bell Mobility,6574,In Service,Edmonton,
780,241,Rogers Communications Canada Inc. (Wireless),8821,In Service,Drayton Valley,
780,242,Bell Mobility,6574,In Service,Edmonton,
780,243,Bell Mobility,6574,In Service,Edmonton,
780,244,Shaw Telecom Inc.,497E,In Service,Edmonton,
780,245,Bell Mobility,6574,In Service,Edmonton,
780,246,Rogers Communications Canada Inc. (Wireless),8821,In Service,Edmonton,
780,247,Rogers Communications Canada Inc. (Wireless),8821,In Service,High Level,
780,248,TELUS,8084,In Service,Edmonton,
780,249,Shaw Telecom Inc.,497E,In Service,Edmonton,
780,250,Shaw Telecom Inc.,497E,In Service,Edmonton,
780,251,Rogers Communications Canada Inc. (Wireless),8821,In Service,Fairview,
780,252,Rogers Communications Canada Inc. (Wireless),8821,In Service,Hardisty,
780,253,Rogers Communications Canada Inc. (Wireless),8821,In Service,Warburg,
780,254,Rogers Communications Canada Inc. (Wireless),8821,In Service,Viking,
780,255,Rogers Communications Canada Inc. (Wireless),8821,In Service,Valleyview,
780,256,Rogers Communications Canada Inc. (Wireless),8821,In Service,Swan Hills,
780,257,Bell Mobility,6574,In Service,Edmonton,
780,258,Rogers Communications Canada Inc. (Wireless),8821,In Service,Smoky Lake,
780,259,Rogers Communications Canada Inc. (Wireless),8821,In Service,Vermilion,
780,260,Rogers Communications Canada Inc. (Wireless),8821,In Service,Slave Lake,
780,261,Rogers Communications Canada Inc. (Wireless),8821,In Service,Wainwright,
780,262,Rogers Communications Canada Inc. (Wireless),8821,In Service,Whitecourt,
780,263,Bell Mobility,6574,In Service,Edmonton,
780,264,Bell Mobility,6574,In Service,Edmonton,
780,265,Bell Mobility,6574,In Service,Edmonton,
780,266,Bell Mobility,6574,In Service,Edmonton,
780,267,Bell Mobility,6574,In Service,Edmonton,
780,268,TELUS Mobility,8301,In Service,Whitecourt,
780,269,Rogers Communications Canada Inc. (Wireless),8821,In Service,Sangudo,
780,270,Bell Mobility,6574,In Service,Edmonton,
780,271,Bell Mobility,6574,In Service,Edmonton,
780,272,Rogers Communications Canada Inc. (Wireless),8821,In Service,Provost,
780,273,Rogers Communications Canada Inc. (Wireless),8821,In Service,Wabasca,
780,274,Rogers Communications Canada Inc. (Wireless),8821,In Service,Peace River,
780,275,Rogers Communications Canada Inc. (Wireless),8821,In Service,Vegreville,
780,276,Rogers Communications Canada Inc. (Wireless),8821,In Service,Lac La Biche,
780,277,Rogers Communications Canada Inc. (Wireless),8821,In Service,Fox Creek,
780,278,Bell Mobility,6574,In Service,Edmonton,
780,279,Rogers Communications Canada Inc. (Wireless),8821,In Service,Falher,
780,280,Rogers Communications Canada Inc. (Wireless),8821,In Service,Edson,
780,281,Rogers Communications Canada Inc. (Wireless),8821,In Service,Camrose,
780,282,Rogers Communications Canada Inc. (Wireless),8821,In Service,Barrhead,
780,283,Rogers Communications Canada Inc. (Wireless),8821,In Service,Westlock,
780,284,TELUS Mobility,8301,In Service,Barrhead,
780,285,Bell Mobility,6574,In Service,High Level,
780,286,Bell Mobility,6574,In Service,Whitecourt,
780,287,Bell Mobility,6574,In Service,Westlock,
780,288,TELUS Mobility,8301,In Service,Edmonton,
780,289,TELUS Mobility,8301,In Service,Edmonton,
780,290,Rogers Communications Canada Inc. (Wireless),8821,In Service,St. Paul,
780,291,Rogers Communications Canada Inc. (Wireless),8821,In Service,High Prairie,
780,292,TELUS Mobility,8301,In Service,Edmonton,
780,293,TELUS Mobility,8301,In Service,Edmonton,
780,294,Bell Mobility,6574,In Service,Barrhead,
780,295,Bell Mobility,6574,In Service,Swan Hills,
780,296,TELUS Mobility,8301,In Service,Grande Prairie,
780,297,Bell Mobility,6574,In Service,Edmonton,
780,298,Bell Mobility,6574,In Service,Edmonton,
780,299,Bell Mobility,6574,In Service,Edmonton,
780,300,TELUS Mobility,8301,In Service,Valleyview,
780,301,TELUS Mobility,8301,In Service,Valleyview,
780,302,TELUS,8084,In Service,Falher,
780,303,TELUS Mobility,8301,In Service,Swan Hills,
780,304,Bell Mobility,6574,In Service,Hay Lakes,
780,305,TELUS,8084,In Service,Barrhead,
780,306,Distributel,081E,In Service,Edmonton,
780,307,TELUS,8084,In Service,Westlock,
780,308,Bell Mobility,6574,In Service,Killam,
780,309,TELUS,8084,In Service,Swan Hills,
780,310,TELUS,8084,In Service,7 Digit Service,7 Digit Service
780,311,,,For Special Use,,Non-Emergency Municipal Government Services
780,312,TELUS,8084,In Service,Wetaskiwin,
780,313,Bell Mobility,6574,In Service,Rainbow Lake,
780,314,Bell Mobility,6574,In Service,Millet,
780,315,Bell Mobility,6574,In Service,Hinton,
780,316,Bell Mobility,6574,In Service,High Prairie,
780,317,Bell Mobility,6574,In Service,Jasper,
780,318,Bell Mobility,6574,In Service,Edmonton,
780,319,Bell Mobility,6574,In Service,Wabasca,
780,320,Bell Mobility,6574,In Service,Grande Cache,
780,321,TELUS,8084,In Service,Assumption,
780,322,TELUS,8084,In Service,Nampa,
780,323,TELUS,8084,In Service,Girouxville,
780,324,TELUS,8084,In Service,McLennan,
780,325,TELUS,8084,In Service,Wildwood,
780,326,Bell Mobility,6574,In Service,Fox Creek,
780,327,Bell Mobility,6574,In Service,Boyle,
780,328,Primus Telecommunications Canada Inc.,201A,In Service,Edmonton,
780,329,Bell Mobility,6574,In Service,Manning,
780,330,Bell Mobility,6574,In Service,Fairview,
780,331,TELUS,8084,In Service,Calling Lake,
780,332,TELUS,8084,In Service,Grimshaw,
780,333,TELUS,8084,In Service,Swan Hills,
780,334,TELUS,8084,In Service,Anzac,
780,335,TELUS Mobility,8301,In Service,Wetaskiwin,
780,336,TELUS,8084,In Service,Viking,
780,337,Bell Mobility,6574,In Service,Lac La Biche,
780,338,TELUS,8084,In Service,Berwyn,
780,339,TELUS,8084,In Service,Tomahawk,
780,340,Bell Mobility,6574,In Service,Edmonton,
780,341,TELUS,8084,In Service,Edmonton,
780,342,TELUS,8084,In Service,Edmonton,
780,343,TELUS,8084,In Service,Bonnyville,
780,344,Allstream Inc.,8304,In Service,Wembley,
780,345,Allstream Inc.,8304,In Service,Sexsmith,
780,346,Bell Mobility,6574,In Service,Hardisty,
780,347,TELUS,8084,In Service,St. Albert,
780,348,TELUS,8084,In Service,Clyde,
780,349,TELUS,8084,In Service,Westlock,
780,350,TELUS,8084,In Service,Westlock,
780,351,TELUS,8084,In Service,Silver Valley,
780,352,TELUS,8084,In Service,Wetaskiwin,
780,353,TELUS,8084,In Service,Bonanza,
780,354,TELUS,8084,In Service,Beaverlodge,
780,355,TELUS,8084,In Service,Faust,
780,356,TELUS,8084,In Service,Hythe,
780,357,TELUS,8084,In Service,Grande Prairie,
780,358,TELUS,8084,In Service,Waskatenau,
780,359,TELUS,8084,In Service,Eaglesham,
780,360,TELUS,8084,In Service,Wetaskiwin,
780,361,TELUS,8084,In Service,Wetaskiwin,
780,362,Rogers Communications Canada Inc. (Wireless),8821,In Service,Wetaskiwin,
780,363,TELUS,8084,In Service,Chipman,
780,364,Fido Solutions Inc.,5643,In Service,Wetaskiwin,
780,365,TELUS,8084,In Service,Andrew,
780,366,TELUS,8084,In Service,Myrnam,
780,367,TELUS,8084,In Service,Willingdon,
780,368,Bragg Communications Inc.,4878,In Service,Wetaskiwin,
780,369,TELUS,8084,In Service,Widewater,
780,370,TELUS Mobility,8301,In Service,Fort McMurray,
780,371,TELUS,8084,In Service,Edmonton,
780,372,TELUS,8084,In Service,Bashaw,
780,373,TELUS,8084,In Service,Bawlf,
780,374,TELUS,8084,In Service,Daysland,
780,375,TELUS,8084,In Service,Rosalind,
780,376,TELUS,8084,In Service,Strome,
780,377,TELUS,8084,In Service,Edmonton,
780,378,TELUS,8084,In Service,Edmonton,
780,379,TELUS Mobility,8301,In Service,Westlock,
780,380,Bell Mobility,6574,In Service,Grande Prairie,
780,381,Bell Mobility,6574,In Service,Fort McMurray,
780,382,Bragg Communications Inc.,4878,In Service,Millet,
780,383,TELUS,8084,In Service,Warspite,
780,384,TELUS,8084,In Service,Sedgewick,
780,385,TELUS,8084,In Service,Killam,
780,386,TELUS,8084,In Service,Lougheed,
780,387,TELUS,8084,In Service,Millet,
780,388,TELUS,8084,In Service,Alder Flats,
780,389,TELUS,8084,In Service,Mulhurst,
780,390,TELUS,8084,In Service,Killam,
780,391,TELUS,8084,In Service,Edmonton,
780,392,TELUS,8084,In Service,Edmonton,
780,393,TELUS,8084,In Service,Millet,
780,394,Rogers Communications Canada Inc. (Wireless),8821,In Service,Edmonton,
780,395,TELUS,8084,In Service,Edmonton,
780,396,TELUS,8084,In Service,Whitecourt,
780,397,TELUS,8084,In Service,Marlboro,
780,398,TELUS,8084,In Service,Thorhild,
780,399,Rogers Communications Canada Inc. (Wireless),8821,In Service,Edmonton,
780,400,TELUS,8084,In Service,Sherwood Park,
780,401,TELUS,8084,In Service,Edmonton,
780,402,TELUS,8084,In Service,Grande Prairie,
780,403,,,Not Available,,Home NPA
780,404,TELUS,8084,In Service,Lac La Biche,
780,405,TELUS Mobility,8301,In Service,Edmonton,
780,406,TELUS,8084,In Service,Edmonton,
780,407,TELUS,8084,In Service,Edmonton,
780,408,TELUS,8084,In Service,Edmonton,
780,409,Bell West Inc.,2933,In Service,Edmonton,
780,410,TELUS,8084,In Service,Sherwood Park,
780,411,,,For Special Use,,Directory Assistance
780,412,TELUS,8084,In Service,Edmonton,
780,413,TELUS,8084,In Service,Edmonton,
780,414,TELUS,8084,In Service,Edmonton,
780,415,TELUS,8084,In Service,Edmonton,
780,416,TELUS,8084,In Service,Sherwood Park,
780,417,TELUS,8084,In Service,Sherwood Park,
780,418,TELUS,8084,In Service,St. Albert,
780,419,TELUS,8084,In Service,St. Albert,
780,420,TELUS,8084,In Service,Edmonton,
780,421,TELUS,8084,In Service,Edmonton,
780,422,TELUS,8084,In Service,Edmonton,
780,423,TELUS,8084,In Service,Edmonton,
780,424,TELUS,8084,In Service,Edmonton,
780,425,TELUS,8084,In Service,Edmonton,
780,426,TELUS,8084,In Service,Edmonton,
780,427,TELUS,8084,In Service,Edmonton,
780,428,TELUS,8084,In Service,Edmonton,
780,429,TELUS,8084,In Service,Edmonton,
780,430,TELUS,8084,In Service,Edmonton,
780,431,TELUS,8084,In Service,Edmonton,
780,432,TELUS,8084,In Service,Edmonton,
780,433,TELUS,8084,In Service,Edmonton,
780,434,TELUS,8084,In Service,Edmonton,
780,435,TELUS,8084,In Service,Edmonton,
780,436,TELUS,8084,In Service,Edmonton,
780,437,TELUS,8084,In Service,Edmonton,
780,438,TELUS,8084,In Service,Edmonton,
780,439,TELUS,8084,In Service,Edmonton,
780,440,TELUS,8084,In Service,Edmonton,
