NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
587,200,Iristel Inc.,154E,In Service,Sherwood Park,
587,201,TELUS Mobility,8301,In Service,Bonnyville,
587,202,TELUS Mobility,8301,In Service,Grande Prairie,
587,203,Navigata Communications Limited,078G,In Service,Crowsnest Pass,
587,204,Navigata Communications Limited,078G,In Service,Fort Macleod,
587,205,Iristel Inc.,154E,In Service,Peace River,
587,206,Iristel Inc.,154E,In Service,Stony Plain,
587,207,Iristel Inc.,154E,In Service,Hanna,
587,208,Iristel Inc.,154E,In Service,High River,
587,209,Iristel Inc.,154E,In Service,Hinton,
587,210,Iristel Inc.,154E,In Service,Lac La Biche,
587,211,,,For Special Use,,Public Information and Referral Services
587,212,Distributel,081E,Assigned,Alberta Beach,
587,213,Distributel,081E,Assigned,Evansburg,
587,214,Freedom Mobile Inc.,383F,Assigned,Blackfalds,
587,215,TELUS Mobility,8301,In Service,Calgary,
587,216,TELUS Mobility,8301,In Service,Calgary,
587,217,TELUS Mobility,8301,In Service,Lloydminster,
587,218,TELUS Mobility,8301,In Service,Killam,
587,219,TELUS Mobility,8301,In Service,Coronation,
587,220,TELUS Mobility,8301,In Service,Lethbridge,
587,221,TELUS Mobility,8301,In Service,Cowley,
587,222,TELUS Mobility,8301,In Service,Banff,
587,223,TELUS Mobility,8301,In Service,Calgary,
587,224,TELUS Mobility,8301,In Service,Calgary,
587,225,TELUS Mobility,8301,In Service,Calgary,
587,226,TELUS Mobility,8301,In Service,Calgary,
587,227,TELUS Mobility,8301,In Service,Calgary,
587,228,TELUS Mobility,8301,In Service,Calgary,
587,229,TELUS Mobility,8301,In Service,Calgary,
587,230,TELUS,8084,In Service,Calgary,
587,231,TELUS,8084,In Service,Calgary,
587,232,TELUS,8084,In Service,Calgary,
587,233,TELUS,8084,In Service,Calgary,
587,234,TELUS,8084,In Service,St. Albert,
587,235,TELUS,8084,In Service,Sherwood Park,
587,236,TELUS,8084,In Service,Airdrie,
587,237,TELUS,8084,In Service,Beaumont,
587,238,TELUS,8084,In Service,Canmore,
587,239,TELUS,8084,In Service,Cochrane,
587,240,TELUS,8084,In Service,Devon,
587,241,TELUS,8084,In Service,Fort McMurray,
587,242,TELUS,8084,In Service,Fort Saskatchewan,
587,243,TELUS,8084,In Service,Grande Prairie,
587,244,TELUS,8084,In Service,High River,
587,245,TELUS,8084,In Service,Leduc,
587,246,TELUS,8084,In Service,Medicine Hat,
587,247,TELUS,8084,In Service,Morinville,
587,248,TELUS,8084,In Service,Okotoks,
587,249,TELUS,8084,In Service,Spruce Grove,
587,250,TELUS,8084,In Service,Stony Plain,
587,251,TELUS,8084,In Service,Strathmore,
587,252,TELUS Mobility,8301,In Service,St. Paul,
587,253,TELUS Mobility,8301,In Service,Medicine Hat,
587,254,TELUS,8084,In Service,Airdrie,
587,255,TELUS Mobility,8301,In Service,Czar,
587,256,TELUS Mobility,8301,In Service,Viking,
587,257,TELUS Mobility,8301,In Service,Lethbridge,
587,258,TELUS,8084,In Service,Fort McMurray,
587,259,TELUS,8084,In Service,Grande Prairie,
587,260,Bell West Inc.,2933,In Service,Camrose,
587,261,Bell West Inc.,2933,In Service,Peace River,
587,262,Bell West Inc.,2933,In Service,Vegreville,
587,263,Bell West Inc.,2933,In Service,Brooks,
587,264,Bell West Inc.,2933,In Service,Leduc,
587,265,Bell West Inc.,2933,In Service,Westlock,
587,266,Bell West Inc.,2933,In Service,Slave Lake,
587,267,Bell West Inc.,2933,In Service,Edson,
587,268,Bell West Inc.,2933,In Service,Stony Plain,
587,269,Shaw Telecom Inc.,497E,In Service,Sherwood Park,
587,270,Shaw Telecom Inc.,497E,In Service,Brooks,
587,271,Shaw Telecom Inc.,497E,In Service,Raymond,
587,272,Shaw Telecom Inc.,497E,In Service,Red Deer,
587,273,Shaw Telecom Inc.,497E,In Service,Red Deer,
587,274,Shaw Telecom Inc.,497E,In Service,Leduc,
587,275,Shaw Telecom Inc.,497E,In Service,Fort McMurray,
587,276,Shaw Telecom Inc.,497E,In Service,Fort McMurray,
587,277,TELUS Mobility,8301,In Service,Drayton Valley,
587,278,TELUS Mobility,8301,In Service,Claresholm,
587,279,TELUS Mobility,8301,In Service,Red Earth,
587,280,TELUS Mobility,8301,In Service,Vegreville,
587,281,TELUS Mobility,8301,In Service,Wainwright,
587,282,TELUS Mobility,8301,In Service,Stettler,
587,283,TELUS Mobility,8301,In Service,Gift Lake,
587,284,TELUS Mobility,8301,In Service,Calgary,
587,285,Shaw Telecom Inc.,497E,In Service,Fort Saskatchewan,
587,286,Shaw Telecom Inc.,497E,In Service,Spruce Grove,
587,287,Fibernetics Corporation,464D,In Service,Calgary,
587,288,Fibernetics Corporation,464D,In Service,Calgary,
587,289,Shaw Telecom Inc.,497E,In Service,Medicine Hat,
587,290,Shaw Telecom Inc.,497E,In Service,St. Albert,
587,291,TELUS,8084,In Service,Calgary,
587,292,TELUS,8084,In Service,Fort Mackay,
587,293,TELUS,8084,In Service,Calgary,
587,294,TELUS,8084,In Service,Westlock,
587,295,TELUS,8084,In Service,Calgary,
587,296,TELUS,8084,In Service,Calgary,
587,297,TELUS Mobility,8301,In Service,Grande Prairie,
587,298,TELUS Mobility,8301,In Service,Grande Prairie,
