NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
438,200,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,201,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,202,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,203,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,204,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,205,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,206,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,207,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,208,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,209,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,210,,,Available,,
438,211,,,For Special Use,,Public Information and Referral Services
438,212,Bell Canada,8050,In Service,Montreal,
438,213,Bell Canada,8050,In Service,Montreal,
438,214,Bell Canada,8050,In Service,Montreal,
438,215,Bell Canada,8050,In Service,Montreal,
438,216,Bell Canada,8050,In Service,Montreal,
438,217,Bell Canada,8050,In Service,Montreal,
438,218,,,Available,,
438,219,,,Available,,
438,220,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,221,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,222,Beanfield Technologies Inc.,575G,In Service,Montreal,
438,223,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,224,,,Available,,
438,225,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,226,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,227,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,228,Fibernetics Corporation,464D,In Service,Montreal,
438,229,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,230,,,Available,,
438,231,,,Available,,
438,232,,,Available,,
438,233,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,234,,,Available,,
438,235,,,Available,,
438,236,,,Available,,
438,237,,,Available,,
438,238,Fibernetics Corporation,464D,In Service,Montreal,
438,239,Fibernetics Corporation,464D,In Service,Montreal,
438,240,Navigata Communications Limited,078G,In Service,Ile-Perrot,
438,241,Navigata Communications Limited,078G,In Service,Lachine,
438,242,Navigata Communications Limited,078G,In Service,Pointe-Claire,
438,243,Navigata Communications Limited,078G,In Service,Roxboro,
438,244,Navigata Communications Limited,078G,In Service,Ste-Genevieve,
438,245,,,Available,,
438,246,,,Available,,
438,247,,,Available,,
438,248,IXICA Communications Inc.,812H,In Service,Ste-Genevieve,
438,249,,,Available,,
438,250,,,Available,,
438,251,,,Available,,
438,252,,,Available,,
438,253,,,Available,,
438,254,,,Available,,
438,255,,,Available,,
438,256,,,Available,,
438,257,Videotron Ltd.,8306,In Service,Ile-Perrot,
438,258,Allstream Inc.,8304,In Service,Montreal,
438,259,Allstream Inc.,8304,In Service,Montreal,
438,260,,,Available,,
438,261,,,Available,,
438,262,,,Available,,
438,263,,,Not Available,,Not available - reserved for future NPA relief in Montreal, Quebec iaw CRTC Decision 2017-38
438,264,Allstream Inc.,8304,In Service,Lachine,
438,265,Allstream Inc.,8304,In Service,Pointe-Claire,
438,266,Comwave Networks,160G,In Service,Montreal,
438,267,,,Available,,
438,268,,,Available,,
438,269,,,Available,,
438,270,,,Available,,
438,271,,,Available,,
438,272,,,Available,,
438,273,,,Available,,
438,274,Bell Mobility,6574,In Service,Montreal,
438,275,Bell Mobility,6574,In Service,Montreal,
438,276,Bell Mobility,6574,In Service,Montreal,
438,277,,,Available,,
438,278,,,Available,,
438,279,,,Available,,
438,280,,,Available,,
438,281,,,Available,,
438,282,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Montreal,
438,283,,,Available,,
438,284,,,Available,,
438,285,,,Available,,
438,286,,,Available,,
438,287,,,Available,,
438,288,Primus Telecommunications Canada Inc.,201A,In Service,Montreal,
438,289,Primus Telecommunications Canada Inc.,201A,In Service,Montreal,
438,290,Primus Telecommunications Canada Inc.,201A,In Service,Montreal,
438,291,,,Available,,
438,292,,,Available,,
438,293,,,Available,,
438,294,,,Available,,
438,295,,,Available,,
438,296,,,Available,,
438,297,,,Available,,
438,298,Iristel Inc.,154E,In Service,Ste-Genevieve,
438,299,Iristel Inc.,154E,In Service,Ste-Genevieve,
438,300,Iristel Inc.,154E,In Service,Ste-Genevieve,
438,301,Bell Mobility,6574,In Service,Montreal,
438,302,Bell Mobility,6574,In Service,Montreal,
438,303,Bell Mobility,6574,In Service,Montreal,
438,304,Bell Mobility,6574,In Service,Montreal,
438,305,,,Available,,
438,306,,,Available,,
438,307,,,Available,,
438,308,Rogers Communications Canada Inc. (Wireless),8821,In Service,Montreal,
438,309,,,Available,,
438,310,,,Moratorium on Assignment,,
438,311,,,For Special Use,,Non-Emergency Municipal Government Services
438,312,,,Available,,
438,313,,,Available,,
438,314,,,Available,,
438,315,Distributel,083E,In Service,Montreal,
438,316,Distributel,083E,In Service,Montreal,
438,317,Distributel,083E,In Service,Montreal,
438,318,Distributel,083E,In Service,Montreal,
438,319,Distributel,083E,In Service,Montreal,
438,320,Distributel,083E,In Service,Montreal,
438,321,Bell Mobility,6574,In Service,Montreal,
438,322,Bell Mobility,6574,In Service,Montreal,
438,323,Bell Mobility,6574,In Service,Montreal,
438,324,Bell Mobility,6574,In Service,Montreal,
438,325,Bell Mobility,6574,In Service,Montreal,
438,326,TekSavvy Solutions Inc,548H,In Service,Ile-Perrot,
438,327,TekSavvy Solutions Inc,548H,In Service,Lachine,
438,328,TekSavvy Solutions Inc,548H,In Service,Montreal,
438,329,TekSavvy Solutions Inc,548H,In Service,Pointe-Claire,
438,330,TekSavvy Solutions Inc,548H,In Service,Roxboro,
438,331,TekSavvy Solutions Inc,548H,In Service,Ste-Genevieve,
438,332,,,Available,,
438,333,Videotron Ltd.,8306,In Service,Montreal,
438,334,Bell Mobility,6574,In Service,Montreal,
438,335,Bell Mobility,6574,Assigned,Montreal,
438,336,,,Available,,
438,337,,,Available,,
438,338,Fibernetics Corporation,464D,In Service,Montreal,
438,339,,,Available,,
438,340,Bell Mobility,6574,Assigned,Montreal,
438,341,Bell Mobility,6574,Assigned,Montreal,
438,342,Bell Mobility,6574,Assigned,Montreal,
438,343,Bell Mobility,6574,Assigned,Montreal,
438,344,Bell Mobility,6574,In Service,Montreal,
438,345,TELUS Mobility,8303,In Service,Montreal,
438,346,TELUS Mobility,8303,In Service,Montreal,
438,347,TELUS Mobility,8303,In Service,Montreal,
