NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
431,200,MTS Inc.,991B,In Service,Winnipeg,
431,201,MTS Inc.,991B,In Service,Snow Lake,
431,202,,,Available,,
431,203,,,Available,,
431,204,,,Not Available,,Home NPA
431,205,Rogers Communications Canada Inc. (Wireless),8821,In Service,Steinbach,
431,206,,,Available,,
431,207,,,Available,,
431,208,,,Available,,
431,209,,,Available,,
431,210,Bell West Inc.,2933,In Service,Brandon,
431,211,,,For Special Use,,Public Information and Referral Services
431,212,,,Available,,
431,213,,,Available,,
431,214,,,Available,,
431,215,Bell West Inc.,2933,In Service,Steinbach,
431,216,Bell West Inc.,2933,In Service,Morden,
431,217,Bell West Inc.,2933,In Service,Flin Flon,
431,218,Bell West Inc.,2933,In Service,Beausejour,
431,219,Bell West Inc.,2933,In Service,Carberry,
431,220,Bell West Inc.,2933,In Service,Dauphin,
431,221,Bell West Inc.,2933,In Service,Neepawa,
431,222,LES.NET (1996) Inc.,141F,In Service,Winnipeg,
431,223,Bell West Inc.,2933,In Service,Stonewall,
431,224,Bell West Inc.,2933,In Service,Thompson,
431,225,MTS Inc.,991B,In Service,Holland,
431,226,MTS Inc.,991B,In Service,Bissett,
431,227,MTS Inc.,991B,In Service,Easterville,
431,228,MTS Inc.,991B,In Service,Grand Beach,
431,229,MTS Inc.,991B,In Service,The Pas,
431,230,MTS Inc.,991B,In Service,Cross Lake,
431,231,MTS Inc.,991B,In Service,Oxford House,
431,232,MTS Inc.,991B,In Service,Churchill,
431,233,MTS Inc.,991B,In Service,Ste. Rose du Lac,
431,234,MTS Inc.,991B,In Service,Killarney,
431,235,MTS Inc.,991B,In Service,Hamiota,
431,236,MTS Inc.,991B,In Service,Deloraine,
431,237,Bell West Inc.,2933,In Service,Carman,
431,238,Bell West Inc.,2933,In Service,Selkirk,
431,239,Bell West Inc.,2933,In Service,The Pas,
431,240,Bell West Inc.,2933,In Service,Winkler,
431,241,Bell Mobility,6574,In Service,Norway House,
431,242,Bell Mobility,6574,In Service,Eddystone,
431,243,,,Available,,
431,244,,,Available,,
431,245,,,Available,,
431,246,,,Available,,
431,247,,,Available,,
431,248,,,Available,,
431,249,,,Available,,
431,250,,,Available,,
431,251,Bell West Inc.,2933,In Service,Portage La Prairie,
431,252,Bell Mobility,6574,In Service,Amaranth,
431,253,Bell Mobility,6574,In Service,Ashern,
431,254,Bell Mobility,6574,In Service,Bissett,
431,255,Bell Mobility,6574,In Service,Boissevain,
431,256,Bell Mobility,6574,In Service,Fisher River,
431,257,Bell Mobility,6574,In Service,Foxwarren,
431,258,Bell Mobility,6574,In Service,Gillam,
431,259,Bell Mobility,6574,In Service,Grand Rapids,
431,260,Bell Mobility,6574,In Service,Grand Beach,
431,261,Bell Mobility,6574,In Service,Hamiota,
431,262,Bell Mobility,6574,In Service,Libau,
431,263,Bell Mobility,6574,In Service,Churchill,
431,264,Bell Mobility,6574,In Service,Cross Lake,
431,265,Bell Mobility,6574,In Service,Easterville,
431,266,Bell Mobility,6574,In Service,Killarney,
431,267,Bell Mobility,6574,In Service,Oxford House,
431,268,Bell Mobility,6574,In Service,Pilot Mound,
431,269,Bell Mobility,6574,In Service,Pointe Du Bois,
431,270,Bell Mobility,6574,In Service,Rivers,
431,271,Bell Mobility,6574,In Service,Roblin,
431,272,Bell Mobility,6574,In Service,Riverton,
431,273,,,Not Available,,Not available iaw Section 3.7 of CO Code Guidelines: Future Canadian Geographic NPA
431,274,MTS Inc.,991B,In Service,Split Lake,
431,275,,,Available,,
431,276,,,Available,,
431,277,,,Available,,
431,278,,,Available,,
431,279,,,Available,,
431,280,Westman Media Cooperative Ltd,120F,In Service,Minitonas,
431,281,MTS Inc.,991B,In Service,Swan River,
431,282,MTS Inc.,991B,In Service,Strathclair,
431,283,MTS Inc.,991B,In Service,Riverton,
431,284,MTS Inc.,991B,In Service,Manitou,
431,285,MTS Inc.,991B,In Service,Gillam,
431,286,Bell Mobility,6574,In Service,Rossburn,
431,287,Bell Mobility,6574,In Service,Sprague,
431,288,Bell Mobility,6574,In Service,St. Theresa Point,
431,289,Bell Mobility,6574,In Service,Ste. Rose du Lac,
431,290,Bell Mobility,6574,In Service,Treherne,
431,291,Bell Mobility,6574,In Service,Strathclair,
431,292,Bell Mobility,6574,In Service,Woodlands,
431,293,,,Available,,
431,294,,,Available,,
431,295,Bell Mobility,6574,In Service,Virden,
431,296,,,Available,,
431,297,,,Available,,
431,298,,,Available,,
431,299,Westman Media Cooperative Ltd,120F,In Service,Glenboro,
431,300,Iristel Inc.,154E,In Service,Austin,
431,301,Iristel Inc.,154E,In Service,Starbuck,
431,302,Iristel Inc.,154E,In Service,Stonewall,
431,303,Iristel Inc.,154E,In Service,Portage La Prairie,
431,304,Iristel Inc.,154E,In Service,Portage La Prairie,
431,305,Iristel Inc.,154E,In Service,Stonewall,
431,306,,,Available,,
431,307,Xplornet Communications Inc.,069J,In Service,Winnipeg,
431,308,Xplornet Communications Inc.,069J,In Service,Brandon,
431,309,Xplornet Communications Inc.,069J,Assigned,Steinbach,
431,310,,,Moratorium on Assignment,,
431,311,,,For Special Use,,Non-Emergency Municipal Government Services
431,312,Xplornet Communications Inc.,069J,Assigned,Selkirk,
431,313,Xplornet Communications Inc.,069J,Assigned,Gimli,
431,314,Xplornet Communications Inc.,069J,Assigned,Oakbank,
431,315,Xplornet Communications Inc.,069J,Assigned,Portage La Prairie,
431,316,,,Available,,
431,317,Distributel,081E,In Service,Winnipeg,
431,318,,,Available,,
431,319,,,Available,,
431,320,,,Available,,
431,321,MTS Inc.,991B,In Service,Clear Lake,
431,322,,,Available,,
431,323,,,Available,,
431,324,RFNow Inc.,346G,In Service,Cromer,
431,325,RFNow Inc.,346G,In Service,Elkhorn,
431,326,RFNow Inc.,346G,In Service,Russell,
431,327,,,Available,,
431,328,Bell Mobility,6574,Assigned,Falcon Lake,
431,329,Bell Mobility,6574,Assigned,Elie,
431,330,Bell Mobility,6574,Assigned,Sidney,
431,331,,,Available,,
431,332,,,Available,,
431,333,RFNow Inc.,346G,In Service,Oak Lake,
431,334,Bell Mobility,6574,In Service,Winnipeg,
431,335,Bell Mobility,6574,In Service,Winnipeg,
431,336,Bell Mobility,6574,In Service,Winnipeg,
431,337,Bell Mobility,6574,In Service,Winnipeg,
431,338,Bell Mobility,6574,In Service,Winnipeg,
431,339,Bell Mobility,6574,Assigned,Selkirk,
431,340,,,Available,,
431,341,,,Available,,
431,342,Bell Mobility,6574,In Service,Altona,
431,343,Bell Mobility,6574,In Service,Beausejour,
431,344,Bell Mobility,6574,In Service,Carman,
431,345,Bell Mobility,6574,In Service,Dauphin,
431,346,Bell Mobility,6574,In Service,Flin Flon,
431,347,Bell Mobility,6574,In Service,Lac Du Bonnet,
431,348,Bell Mobility,6574,In Service,Lorette,
431,349,Bell Mobility,6574,In Service,Morden,
431,350,Bell Mobility,6574,In Service,Morris,
431,351,Bell Mobility,6574,In Service,Neepawa,
431,352,Bell Mobility,6574,In Service,Russell,
431,353,Bell Mobility,6574,In Service,Souris,
431,354,Bell Mobility,6574,In Service,Thompson,
431,355,Bell Mobility,6574,In Service,The Pas,
431,356,Bell Mobility,6574,In Service,Winkler,
431,357,Bell Mobility,6574,In Service,Eriksdale,
431,358,Bell Mobility,6574,In Service,Holland,
431,359,Bell Mobility,6574,In Service,Manitou,
431,360,Bell Mobility,6574,In Service,Clear Lake,
431,361,Bell Mobility,6574,In Service,Deloraine,
431,362,Bell Mobility,6574,In Service,Minnedosa,
431,363,Bell Mobility,6574,In Service,Swan River,
431,364,,,Available,,
431,365,Bell Mobility,6574,In Service,Teulon,
431,366,,,Available,,
431,367,,,Available,,
431,368,,,Available,,
431,369,,,Available,,
431,370,,,Available,,
431,371,,,Available,,
431,372,,,Available,,
431,373,Bell Mobility,6574,In Service,Winnipeg,
431,374,,,Available,,
431,375,,,Available,,
431,376,,,Available,,
431,377,,,Available,,
431,378,,,Available,,
431,379,,,Available,,
431,380,,,Available,,
431,381,,,Available,,
431,382,,,Available,,
431,383,,,Available,,
431,384,,,Available,,
431,385,,,Available,,
431,386,,,Available,,
431,387,,,Available,,
431,388,Rogers Communications Canada Inc. (Wireless),8821,In Service,Winnipeg,
431,389,,,Available,,
431,390,,,Available,,
431,391,,,Available,,
431,392,,,Available,,
431,393,,,Available,,
431,394,,,Available,,
431,395,,,Available,,
431,396,,,Available,,
431,397,,,Available,,
431,398,,,Available,,
431,399,Westman Media Cooperative Ltd,120F,In Service,Erickson,
431,400,Iristel Inc.,154E,In Service,Portage La Prairie,
431,401,Rogers Communications Canada Inc. (Wireless),8821,In Service,Dauphin,
431,402,,,Available,,
431,403,,,Available,,
431,404,,,Available,,
431,405,,,Available,,
431,406,,,Available,,
431,407,,,Available,,
431,408,,,Available,,
431,409,,,Available,,
431,410,,,Available,,
