NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
365,200,Navigata Communications Limited,078G,In Service,Caledon East,
365,201,Navigata Communications Limited,078G,In Service,Castlemore,
365,202,Navigata Communications Limited,078G,In Service,Port Credit,
365,203,Navigata Communications Limited,078G,In Service,Snelgrove,
365,204,Navigata Communications Limited,078G,In Service,Victoria,
365,205,Navigata Communications Limited,078G,In Service,Waterdown,
365,206,Distributel,082E,In Service,Caledonia,
365,207,Distributel,082E,In Service,Cooksville,
365,208,TELUS Integrated Communications,2782,In Service,Cayuga,
365,209,TELUS Integrated Communications,2782,In Service,Dunnville,
365,210,Distributel,082E,Assigned,Ancaster,
365,211,,,For Special Use,,Public Information and Referral Services
365,212,Distributel,082E,Assigned,Binbrook,
365,213,,,Available,,
365,214,Distributel,082E,Assigned,Dundas,
365,215,Distributel,082E,Assigned,Hagersville,
365,216,Distributel,082E,Assigned,Mount Hope,
365,217,Iristel Inc.,154E,In Service,Maple,
365,218,Distributel,082E,Assigned,Stoney Creek,
365,219,Distributel,082E,Assigned,West Lincoln,
365,220,Rogers Communications Canada Inc. (Cable),743B,In Service,Streetsville,
365,221,Distributel,082E,Assigned,Winona,
365,222,Primus Telecommunications Canada Inc.,201A,In Service,Niagara Falls,
365,223,,,Available,,
365,224,,,Available,,
365,225,IXICA Communications Inc.,812H,In Service,Palgrave,
365,226,,,Available,,
365,227,,,Available,,
365,228,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Oakville,
365,229,,,Available,,
365,230,Rogers Communications Canada Inc. (Cable),743B,Assigned,Brampton,
365,231,Rogers Communications Canada Inc. (Cable),743B,Assigned,Brampton,
365,232,,,Available,,
365,233,,,Available,,
365,234,,,Available,,
365,235,IXICA Communications Inc.,812H,In Service,Unionville,
365,236,TELUS Integrated Communications,2782,In Service,Brooklin,
365,237,TELUS Integrated Communications,2782,In Service,Orono,
365,238,TELUS Integrated Communications,2782,In Service,Port Perry,
365,239,TELUS Integrated Communications,2782,In Service,Blackstock,
365,240,TELUS Integrated Communications,2782,In Service,Bowmanville,
365,241,TELUS Integrated Communications,2782,In Service,Newcastle,
365,242,TELUS Integrated Communications,2782,In Service,Port Credit,
365,243,TELUS Integrated Communications,2782,In Service,Garden Hill,
365,244,,,Available,,
365,245,IXICA Communications Inc.,812H,In Service,Uxbridge,
365,246,Distributel,082E,Assigned,Beeton,
365,247,Distributel,082E,Assigned,Bradford,
365,248,Distributel,082E,Assigned,Tottenham,
365,249,,,Not Available,,Not available - existing Canadian NPA
365,250,TELUS Integrated Communications,2782,In Service,Bradford,
365,251,TELUS Integrated Communications,2782,In Service,Caledonia,
365,252,TELUS Integrated Communications,2782,In Service,Hagersville,
365,253,TELUS Integrated Communications,2782,In Service,Keswick,
365,254,TELUS Integrated Communications,2782,In Service,Schomberg,
365,255,IXICA Communications Inc.,812H,In Service,Richmond Hill,
365,256,,,Available,,
365,257,,,Available,,
365,258,,,Available,,
365,259,,,Available,,
365,260,TELUS Integrated Communications,2782,In Service,Tottenham,
365,261,,,Available,,
365,262,,,Available,,
365,263,,,Available,,
365,264,,,Available,,
365,265,IXICA Communications Inc.,812H,In Service,Victoria,
365,266,Comwave Networks,160G,In Service,Bradford,
365,267,,,Available,,
365,268,Rogers Communications Canada Inc. (Cable),743B,Assigned,Newmarket,
365,269,,,Available,,
365,270,,,Available,,
365,271,,,Available,,
365,272,,,Available,,
365,273,,,Available,,
365,274,,,Available,,
365,275,Bell Mobility,6574,In Service,Ajax-Pickering,
365,276,,,Available,,
365,277,InnSysVoice Corp,383H,Assigned,Colborne,
365,278,,,Available,,
365,279,,,Available,,
365,280,,,Available,,
365,281,,,Available,,
365,282,,,Available,,
365,283,,,Available,,
365,284,,,Available,,
365,285,IXICA Communications Inc.,812H,In Service,Aurora,
365,286,,,Available,,
365,287,,,Available,,
365,288,Rogers Communications Canada Inc. (Cable),743B,In Service,Cooksville,
365,289,,,Not Available,,Home NPA
365,290,,,Available,,
365,291,,,Available,,
365,292,Bell Mobility,6574,Assigned,Oakville,
365,293,,,Available,,
365,294,,,Available,,
365,295,IXICA Communications Inc.,812H,In Service,Bethesda,
365,296,,,Available,,
365,297,,,Available,,
365,298,,,Available,,
365,299,Iristel Inc.,154E,In Service,Ajax-Pickering,
365,300,Iristel Inc.,154E,In Service,Ajax-Pickering,
365,301,Navigata Communications Limited,078G,In Service,Freelton,
365,302,Navigata Communications Limited,078G,In Service,Georgetown,
365,303,Navigata Communications Limited,078G,In Service,Milton,
365,304,Navigata Communications Limited,078G,In Service,Campbellville,
365,305,,,Available,,
365,306,,,Available,,
365,307,,,Available,,
365,308,,,Available,,
365,309,,,Available,,
365,310,,,Moratorium on Assignment,,
365,311,,,For Special Use,,Non-Emergency Municipal Government Services
365,312,,,Available,,
365,313,,,Available,,
365,314,,,Available,,
365,315,IXICA Communications Inc.,812H,In Service,Bolton,
365,316,,,Available,,
365,317,Distributel,082E,In Service,Hamilton,
365,318,,,Available,,
365,319,,,Available,,
365,320,,,Available,,
365,321,,,Available,,
365,322,InnSysVoice Corp,383H,Assigned,Grafton,
365,323,Bell Mobility,6574,Assigned,Hamilton,
365,324,,,Available,,
365,325,IXICA Communications Inc.,812H,In Service,Castlemore,
365,326,IXICA Communications Inc.,812H,In Service,Campbellville,
365,327,IXICA Communications Inc.,812H,In Service,Freelton,
365,328,IXICA Communications Inc.,812H,In Service,Georgetown,
365,329,IXICA Communications Inc.,812H,In Service,Waterdown,
365,330,IXICA Communications Inc.,812H,In Service,Burlington,
365,331,IXICA Communications Inc.,812H,In Service,Oakville,
365,332,IXICA Communications Inc.,812H,In Service,Milton,
365,333,IXICA Communications Inc.,812H,In Service,Brampton,
365,334,,,Available,,
365,335,IXICA Communications Inc.,812H,In Service,Caledon East,
365,336,Rogers Communications Canada Inc. (Wireless),8821,In Service,Hamilton,
365,337,,,Available,,
365,338,Rogers Communications Canada Inc. (Wireless),8821,In Service,Oakville,
365,339,,,Available,,
365,340,Bell Mobility,6574,In Service,Newmarket,
365,341,,,Available,,
365,342,,,Available,,
365,343,,,Not Available,,Not available - existing Canadian NPA
365,344,InnSysVoice Corp,383H,Assigned,Roseneath,
365,345,IXICA Communications Inc.,812H,In Service,Claremont,
