NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
250,200,Rogers Communications Canada Inc. (Wireless),8821,In Service,Revelstoke,
250,201,TELUS Mobility,8301,In Service,Campbell River,
250,202,TELUS Mobility,8301,In Service,Campbell River,
250,203,TELUS Mobility,8301,In Service,Campbell River,
250,204,Rogers Communications Canada Inc. (Wireless),8821,In Service,Campbell River,
250,205,Rogers Communications Canada Inc. (Wireless),8821,In Service,Campbell River,
250,206,TELUS Mobility,8301,In Service,Port Alberni,
250,207,TELUS Mobility,8301,In Service,Courtenay,
250,208,TELUS Mobility,8301,In Service,Victoria,
250,209,TELUS Mobility,8301,In Service,Port Alice,
250,210,TELUS Mobility,8301,In Service,Chemainus,
250,211,,,For Special Use,,Public Information and Referral Services
250,212,TELUS Mobility,8301,In Service,Kelowna,
250,213,TELUS,8086,In Service,Victoria,
250,214,TELUS Mobility,8301,In Service,South Kamloops,
250,215,TELUS Mobility,8301,In Service,Kelowna,
250,216,Rogers Communications Canada Inc. (Wireless),8821,In Service,Victoria,
250,217,Rogers Communications Canada Inc. (Wireless),8821,In Service,Victoria,
250,218,TELUS Mobility,8301,In Service,Courtenay,
250,219,TELUS Mobility,8301,In Service,Dawson Creek,
250,220,Bell West Inc.,2933,In Service,Victoria,
250,221,TELUS Mobility,8301,In Service,Ganges,
250,222,TELUS Mobility,8301,In Service,Gulf Islands,
250,223,TELUS,8086,In Service,Boswell,
250,224,TELUS Mobility,8301,In Service,Fort St. John,
250,225,TELUS,8086,In Service,Riondel,
250,226,TELUS,8086,In Service,Vallican,
250,227,TELUS,8086,In Service,Crawford Bay,
250,228,TELUS Mobility,8301,In Service,Parksville,
250,229,TELUS,8086,In Service,Balfour,
250,230,TELUS Mobility,8301,In Service,Port Hardy,
250,231,TELUS Mobility,8301,In Service,Trail,
250,232,Northwestel,8092,In Service,Toad River,
250,233,Northwestel,8092,In Service,Fort Nelson,
250,234,Northwestel,8092,In Service,Iskut,
250,235,Northwestel,8092,In Service,Telegraph Creek,
250,236,,,Not Available,,Home NPA
250,237,Northwestel,8092,In Service,Bob Quinn Lake,
250,238,TELUS,8086,In Service,Gold Bridge,
250,239,Northwestel,8092,In Service,Good Hope Lake,
250,240,Rogers Communications Canada Inc. (Wireless),8821,In Service,Parksville,
250,241,TELUS Mobility,8301,In Service,Vernon,
250,242,TELUS,8086,In Service,Tumbler Ridge,
250,243,TELUS,8086,In Service,Beaver Valley,
250,244,Bell West Inc.,2933,In Service,Nanaimo,
250,245,TELUS,8086,In Service,Ladysmith,
250,246,TELUS,8086,In Service,Chemainus,
250,247,TELUS,8086,In Service,Gabriola Island,
250,248,TELUS,8086,In Service,Parksville,
250,249,TELUS,8086,In Service,Bouchie Lake,
250,250,,,Not Available,,Home NPA
250,251,TELUS Mobility,8301,In Service,Burns Lake,
250,252,TELUS Mobility,8301,In Service,Duncan,
250,253,TELUS Mobility,8301,In Service,Salmon Arm,
250,254,TELUS Mobility,8301,In Service,Creston,
250,255,TELUS Mobility,8301,In Service,Quesnel,
250,256,TELUS,8086,In Service,Lillooet,
250,257,TELUS Mobility,8301,In Service,Tumbler Ridge,
250,258,TELUS Mobility,8301,In Service,Kelowna,
250,259,TELUS,8086,In Service,Shalalth,
250,260,TELUS,8086,In Service,Vernon,
250,261,TELUS,8086,In Service,Fort St. John,
250,262,TELUS,8086,In Service,Fort St. John,
250,263,TELUS,8086,In Service,Fort St. John,
250,264,TELUS,8086,In Service,Fort St. John,
250,265,TELUS,8086,In Service,Nakusp,
250,266,TELUS Mobility,8301,In Service,Ucluelet,
250,267,TELUS Mobility,8301,In Service,Williams Lake,
250,268,TELUS Mobility,8301,In Service,Nanaimo,
250,269,TELUS,8086,In Service,Fauquier,
250,270,Rogers Communications Canada Inc. (Wireless),8821,In Service,Invermere,
250,271,Rogers Communications Canada Inc. (Wireless),8821,In Service,Fort St. John,
250,272,TELUS Mobility,8301,In Service,Golden,
250,273,TELUS Mobility,8301,In Service,Princeton,
250,274,TELUS Mobility,8301,In Service,Penticton,
250,275,Bell West Inc.,2933,In Service,Vernon,
250,276,Bell West Inc.,2933,In Service,Penticton,
250,277,Bell West Inc.,2933,In Service,Prince George,
250,278,TELUS Mobility,8301,In Service,Fernie,
250,279,TELUS Mobility,8301,In Service,Kitimat,
250,280,TELUS Mobility,8301,In Service,Merritt,
250,281,TELUS,8086,In Service,Woss Lake,
250,282,TELUS,8086,In Service,Sayward,
250,283,TELUS,8086,In Service,Gold River,
250,284,TELUS,8086,In Service,Port Alice,
250,285,TELUS,8086,In Service,Quadra Island,
250,286,TELUS,8086,In Service,Campbell River,
250,287,TELUS,8086,In Service,Campbell River,
250,288,TELUS,8086,In Service,Holberg,
250,289,TELUS,8086,In Service,Ocean Falls,
250,290,Rogers Communications Canada Inc. (Wireless),8821,In Service,Golden,
250,291,TELUS,8086,In Service,Lillooet,
250,292,TELUS,8086,In Service,Hedley,
250,293,TELUS,8086,In Service,Princeton,
250,294,Bell West Inc.,2933,In Service,Victoria,
250,295,TELUS,8086,In Service,Princeton,
250,296,TELUS,8086,In Service,150 Mile House,
250,297,TELUS,8086,In Service,McLeese Lake,
250,298,Bell West Inc.,2933,In Service,Victoria,
