NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
289,200,Rogers Communications Canada Inc. (Wireless),8821,In Service,Ajax-Pickering,
289,201,Iristel Inc.,154E,In Service,Brampton,
289,202,Rogers Communications Canada Inc. (Cable),8377,In Service,Kleinburg,
289,203,Iristel Inc.,154E,In Service,Stoney Creek,
289,204,Iristel Inc.,154E,In Service,Ancaster,
289,205,Iristel Inc.,154E,In Service,Grimsby,
289,206,Iristel Inc.,154E,In Service,Bolton,
289,207,Iristel Inc.,154E,In Service,King City,
289,208,Rogers Communications Canada Inc. (Wireless),8821,In Service,Burlington,
289,209,Rogers Communications Canada Inc. (Wireless),8821,In Service,Dunnville,
289,210,Iristel Inc.,154E,In Service,Oak Ridges,
289,211,,,For Special Use,,Public Information and Referral Services
289,212,Iristel Inc.,154E,In Service,Stouffville,
289,213,Bell Mobility,6574,In Service,St. Catharines-Thorold,
289,214,Bell Mobility,6574,In Service,St. Catharines-Thorold,
289,215,Bell Mobility,6574,In Service,Cobourg,
289,216,Iristel Inc.,154E,In Service,Kleinburg,
289,217,Iristel Inc.,154E,In Service,Maple,
289,218,Rogers Communications Canada Inc. (Wireless),8821,In Service,Oakville,
289,219,Bell Mobility,6574,In Service,St. Catharines-Thorold,
289,220,Fibernetics Corporation,464D,In Service,Whitby,
289,221,Rogers Communications Canada Inc. (Wireless),8821,In Service,Aurora,
289,222,Fibernetics Corporation,464D,In Service,Oshawa,
289,223,Fibernetics Corporation,464D,In Service,Bowmanville,
289,224,Fibernetics Corporation,464D,In Service,Ajax-Pickering,
289,225,Fibernetics Corporation,464D,In Service,Port Perry,
289,226,Freedom Mobile Inc.,383F,Assigned,Grafton,
289,227,Fibernetics Corporation,464D,In Service,Brooklin,
289,228,TELUS Mobility,8303,In Service,St. Catharines-Thorold,
289,229,Fibernetics Corporation,464D,In Service,South Pickering,
289,230,TELUS Mobility,8303,In Service,Burlington,
289,231,Rogers Communications Canada Inc. (Wireless),8821,In Service,Newmarket,
289,232,Rogers Communications Canada Inc. (Cable),743B,In Service,Cooksville,
289,233,TELUS Mobility,8303,In Service,Brampton,
289,234,Rogers Communications Canada Inc. (Cable),743B,In Service,Oak Ridges,
289,235,TELUS Integrated Communications,2782,In Service,Grimsby,
289,236,Iristel Inc.,154E,In Service,Woodbridge,
289,237,Rogers Communications Canada Inc. (Wireless),8821,In Service,Hamilton,
289,238,TELUS Integrated Communications,2782,In Service,Dundas,
289,239,TELUS Integrated Communications,2782,In Service,Ancaster,
289,240,Rogers Communications Canada Inc. (Cable),743B,In Service,Oshawa,
289,241,Rogers Communications Canada Inc. (Wireless),8821,In Service,St. Catharines-Thorold,
289,242,Rogers Communications Canada Inc. (Wireless),8821,In Service,Oakville,
289,243,Distributel,082E,In Service,Oakville,
289,244,Rogers Communications Canada Inc. (Wireless),8821,In Service,Hamilton,
289,245,TELUS Integrated Communications,2782,In Service,Burlington,
289,246,TELUS Integrated Communications,2782,In Service,Hamilton,
289,247,TELUS Integrated Communications,2782,In Service,Malton,
289,248,TELUS Integrated Communications,2782,In Service,Niagara Falls,
289,249,,,Not Available,,Not available - existing Canadian NPA
289,250,TELUS Integrated Communications,2782,In Service,Fort Erie,
289,251,Rogers Communications Canada Inc. (Wireless),8821,In Service,Cobourg,
289,252,TELUS Integrated Communications,2782,In Service,Cobourg,
289,253,Bell Mobility,6574,In Service,Hamilton,
289,254,TELUS Integrated Communications,2782,In Service,Oshawa,
289,255,TELUS Integrated Communications,2782,In Service,Ajax-Pickering,
289,256,TELUS Integrated Communications,2782,In Service,Woodbridge,
289,257,Bell Mobility,6574,In Service,Niagara Falls,
289,258,InnSysVoice Corp,383H,In Service,Aurora,
289,259,Bell Mobility,6574,In Service,Oakville,
289,260,Bell Mobility,6574,In Service,Hamilton,
289,261,Bell Canada,8051,In Service,Cooksville,
289,262,InnSysVoice Corp,383H,In Service,Bethesda,
289,263,Distributel,082E,In Service,Hamilton,
289,264,Bell Mobility,6574,In Service,Newmarket,
289,265,TELUS Integrated Communications,2782,In Service,Colborne,
289,266,TELUS Integrated Communications,2782,In Service,Burlington,
289,267,TELUS Integrated Communications,2782,In Service,St. Catharines-Thorold,
289,268,TELUS Integrated Communications,2782,In Service,Woodbridge,
289,269,TELUS Integrated Communications,2782,In Service,Richmond Hill,
289,270,Iristel Inc.,154E,In Service,Milton,
289,271,Iristel Inc.,154E,In Service,Niagara Falls,
289,272,Iristel Inc.,154E,In Service,Niagara-On-The-Lake,
