NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
709,200,,,Available,,
709,201,,,Available,,
709,202,,,Available,,
709,203,,,Available,,
709,204,,,Available,,
709,205,,,Available,,
709,206,,,Available,,
709,207,,,Available,,
709,208,,,Available,,
709,209,TELUS Integrated Communications,2782,In Service,Torbay,
709,210,,,Available,,
709,211,,,For Special Use,,Public Information and Referral Services
709,212,TELUS Mobility,8303,In Service,St. Anthony,
709,213,TELUS Mobility,8303,In Service,Freshwater,
709,214,TELUS Mobility,8303,In Service,Stephenville,
709,215,TELUS Mobility,8303,In Service,Deer Lake,
709,216,TELUS Mobility,8303,In Service,Corner Brook,
709,217,TELUS Mobility,8303,In Service,Happy Valley - Goose Bay,
709,218,TELUS Mobility,8303,In Service,Bonavista,
709,219,TELUS Mobility,8303,In Service,St. John's,
709,220,Aliant Telecom (NF),8085,In Service,Happy Valley - Goose Bay,
709,221,Rogers Communications Canada Inc. (Cable),743B,In Service,St. John's,
709,222,TELUS Mobility,8303,In Service,Bay Roberts,
709,223,Bragg Communications Inc.,4878,In Service,Greenspond,
709,224,Aliant Telecom (NF),8085,In Service,Westport,
709,225,Aliant Telecom (NF),8085,In Service,River Of Ponds,
709,226,Bell Mobility Aliant,329A,In Service,Freshwater,
709,227,Aliant Telecom (NF),8085,In Service,Freshwater,
709,228,Aliant Telecom (NF),8085,In Service,Long Harbour,
709,229,Aliant Telecom (NF),8085,In Service,Harbour Main,
709,230,Aliant Telecom (NF),8085,In Service,Freshwater,
709,231,Bragg Communications Inc.,4878,In Service,Harbour Main,
709,232,Rogers Communications Canada Inc. (Cable),743B,In Service,Pouch Cove,
709,233,Rogers Communications Canada Inc. (Cable),743B,In Service,Torbay,
709,234,Aliant Telecom (NF),8085,In Service,Gander,
709,235,Aliant Telecom (NF),8085,In Service,Gander,
709,236,Bragg Communications Inc.,4878,In Service,Westport,
709,237,Rogers Communications Canada Inc. (Cable),743B,In Service,St. John's,
709,238,Rogers Communications Canada Inc. (Cable),743B,In Service,Witless Bay,
709,239,Bragg Communications Inc.,4878,In Service,Burlington,
709,240,Rogers Communications Canada Inc. (Cable),743B,In Service,Long Pond,
709,241,Aliant Telecom (NF),8085,In Service,Port Albert,
709,242,Rogers Communications Canada Inc. (Cable),743B,In Service,Portugal Cove,
709,243,Aliant Telecom (NF),8085,In Service,Cow Head,
709,244,Aliant Telecom (NF),8085,In Service,Comfort Cove - Newstead,
