NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
437,200,TELUS Mobility,8303,In Service,Toronto,
437,201,TELUS Mobility,8303,In Service,Toronto,
437,202,TELUS Mobility,8303,In Service,Toronto,
437,203,TELUS Mobility,8303,In Service,Toronto,
437,204,TELUS Mobility,8303,In Service,Toronto,
437,205,TELUS Mobility,8303,In Service,Toronto,
437,206,TELUS Mobility,8303,In Service,Toronto,
437,207,TELUS Mobility,8303,In Service,Toronto,
437,208,TELUS Mobility,8303,In Service,Toronto,
437,209,TELUS Mobility,8303,In Service,Toronto,
437,210,,,Available,,
437,211,,,For Special Use,,Public Information and Referral Services
437,212,,,Available,,
437,213,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,214,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,215,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,216,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,217,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,218,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,219,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,220,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,221,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,222,Beanfield Technologies Inc.,575G,In Service,Toronto,
437,223,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,224,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,225,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,226,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,227,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,228,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,229,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,230,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,231,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,232,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,233,Rogers Communications Canada Inc. (Wireless),8821,In Service,Toronto,
437,234,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,235,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,236,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,237,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,238,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,239,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,240,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,241,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,242,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,243,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,244,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,245,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,246,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,247,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,248,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,249,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,250,Rogers Communications Canada Inc. (Wireless),8821,Assigned,Toronto,
437,251,,,Available,,
437,252,,,Available,,
437,253,,,Available,,
437,254,,,Available,,
437,255,,,Available,,
437,256,,,Available,,
437,257,,,Not Available,,Not available iaw Section 3.7 of CO Code Guidelines: Future Canadian Geographic NPA
437,258,,,Available,,
437,259,,,Available,,
437,260,,,Available,,
437,261,,,Available,,
437,262,,,Available,,
437,263,,,Available,,
437,264,,,Available,,
437,265,,,Available,,
437,266,Comwave Networks,160G,In Service,Toronto,
437,267,,,Available,,
437,268,,,Available,,
437,269,,,Available,,
437,270,,,Available,,
437,271,,,Available,,
437,272,,,Available,,
437,273,,,Available,,
437,274,,,Available,,
437,275,,,Available,,
437,276,,,Available,,
437,277,,,Available,,
437,278,,,Available,,
437,279,,,Available,,
437,280,,,Available,,
437,281,,,Available,,
437,282,,,Available,,
437,283,,,Available,,
437,284,,,Available,,
437,285,,,Available,,
437,286,,,Available,,
