NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
236,200,,,Available,,
236,201,,,Available,,
236,202,,,Available,,
236,203,,,Available,,
236,204,,,Available,,
236,205,,,Available,,
236,206,IXICA Communications Inc.,812H,Assigned,Aldergrove,
236,207,IXICA Communications Inc.,812H,Assigned,Boston Bar,
236,208,IXICA Communications Inc.,812H,Assigned,Bowen Island,
236,209,,,Available,,
236,210,IXICA Communications Inc.,812H,Assigned,Britannia Beach,
236,211,,,For Special Use,,Public Information and Referral Services
236,212,Navigata Communications Limited,078G,In Service,Greenwood,
236,213,Navigata Communications Limited,078G,In Service,Midway,
236,214,Navigata Communications Limited,078G,In Service,Naramata,
236,215,Navigata Communications Limited,078G,In Service,Okanagan Falls,
236,216,Navigata Communications Limited,078G,In Service,Oliver,
236,217,Navigata Communications Limited,078G,In Service,Rock Creek,
236,218,Navigata Communications Limited,078G,In Service,Summerland,
236,219,Navigata Communications Limited,078G,In Service,Ashcroft,
236,220,Navigata Communications Limited,078G,In Service,Aspen Park,
236,221,Navigata Communications Limited,078G,In Service,Avola,
236,222,Navigata Communications Limited,078G,In Service,Barriere,
236,223,Navigata Communications Limited,078G,In Service,Cache Creek,
236,224,Navigata Communications Limited,078G,In Service,Clearwater,
236,225,Navigata Communications Limited,078G,In Service,Lillooet,
236,226,Navigata Communications Limited,078G,In Service,Little Fort,
236,227,Navigata Communications Limited,078G,In Service,Logan Lake,
236,228,Navigata Communications Limited,078G,In Service,Lytton,
236,229,Navigata Communications Limited,078G,In Service,Spences Bridge,
236,230,Navigata Communications Limited,078G,In Service,Vavenby,
236,231,Navigata Communications Limited,078G,In Service,Westwold,
236,232,,,Available,,
236,233,,,Available,,
236,234,,,Available,,
236,235,,,Available,,
236,236,,,Not Available,,Home NPA
236,237,Iristel Inc.,154E,In Service,Victoria,
236,238,Fido Solutions Inc.,5643,In Service,Nanaimo,
236,239,,,Available,,
236,240,,,Available,,
236,241,Freedom Mobile Inc.,383F,Assigned,Ganges,
236,242,,,Available,,
236,243,,,Available,,
236,244,,,Available,,
