NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
778,200,Iristel Inc.,154E,In Service,Vancouver,
778,201,TELUS Mobility,8301,In Service,Abbotsford,
778,202,TELUS Mobility,8301,In Service,Hazelton,
778,203,TELUS Mobility,8301,In Service,Houston,
778,204,TELUS Mobility,8301,In Service,Hudson's Hope,
778,205,TELUS Mobility,8301,In Service,Kaslo,
778,206,TELUS Mobility,8301,In Service,Nakusp,
778,207,TELUS Mobility,8301,In Service,Cache Creek,
778,208,TELUS Mobility,8301,In Service,Clearwater,
778,209,TELUS Mobility,8301,In Service,Lillooet,
778,210,Rogers Communications Canada Inc. (Wireless),8821,In Service,Smithers,
778,211,,,For Special Use,,Public Information and Referral Services
778,212,TELUS Mobility,8301,In Service,Vernon,
778,213,Bell Mobility,6574,In Service,Bella Bella,
778,214,TELUS Mobility,8301,In Service,Kelowna,
778,215,TELUS Mobility,8301,In Service,Kelowna,
778,216,Rogers Communications Canada Inc. (Cable),8377,In Service,Port Coquitlam,
778,217,Rogers Communications Canada Inc. (Cable),8377,In Service,Port Moody,
778,218,Rogers Communications Canada Inc. (Cable),8377,In Service,Newton,
778,219,Rogers Communications Canada Inc. (Cable),8377,In Service,Richmond,
778,220,TELUS Mobility,8301,In Service,South Kamloops,
778,221,Bell Mobility,6574,In Service,Houston,
778,222,TELUS Mobility,8301,In Service,Vancouver,
778,223,Fido Solutions Inc.,5643,In Service,Newton,
778,224,GT Group Telecom Services Corp.,8506,In Service,Victoria,
778,225,Shaw Telecom Inc.,497E,In Service,Courtenay,
778,226,Bell Mobility,6574,In Service,Gulf Islands,
778,227,Bell Mobility,6574,In Service,Vancouver,
778,228,Bell Mobility,6574,In Service,Vancouver,
778,229,Bell Mobility,6574,In Service,Vancouver,
778,230,Bell Mobility,6574,In Service,Vancouver,
778,231,Bell Mobility,6574,In Service,Vancouver,
778,232,Bell Mobility,6574,In Service,Vancouver,
778,233,Bell Mobility,6574,In Service,Vancouver,
778,234,Allstream Inc.,8304,In Service,Richmond,
778,235,Bell Mobility,6574,In Service,Vancouver,
778,236,,,Not Available,,Home NPA
778,237,Rogers Communications Canada Inc. (Wireless),8821,In Service,New Westminster,
778,238,Rogers Communications Canada Inc. (Wireless),8821,In Service,New Westminster,
778,239,Rogers Communications Canada Inc. (Wireless),8821,In Service,Vancouver,
778,240,Rogers Communications Canada Inc. (Wireless),8821,In Service,Aldergrove,
778,241,Rogers Communications Canada Inc. (Wireless),8821,In Service,Aldergrove,
778,242,Rogers Communications Canada Inc. (Wireless),8821,In Service,Aldergrove,
778,243,Bell West Inc.,2933,In Service,Aldergrove,
778,244,Fibernetics Corporation,464D,In Service,Vancouver,
778,245,Bell Mobility,6574,In Service,Aldergrove,
778,246,Bell Mobility,6574,In Service,Aldergrove,
778,247,Distributel,081E,In Service,Victoria,
778,248,Primus Telecommunications Canada Inc.,201A,In Service,New Westminster,
778,249,Primus Telecommunications Canada Inc.,201A,In Service,Newton,
778,250,,,Not Available,,Home NPA
778,251,Fido Solutions Inc.,5643,In Service,North Vancouver,
778,252,TELUS Mobility,8301,In Service,Revelstoke,
778,253,TELUS Mobility,8301,In Service,Spences Bridge,
778,254,TELUS Mobility,8301,In Service,Lytton,
778,255,TELUS Mobility,8301,In Service,Aldergrove,
778,256,TELUS Mobility,8301,In Service,Fort St. John,
778,257,TELUS Mobility,8301,In Service,South Kamloops,
778,258,TELUS Mobility,8301,In Service,McBride,
778,259,TELUS Mobility,8301,In Service,Fraser Lake,
778,260,TELUS Mobility,8301,In Service,Sandspit,
778,261,Bell West Inc.,2933,In Service,Cranbrook,
778,262,Allstream Inc.,8304,In Service,North Vancouver,
778,263,Allstream Inc.,8304,In Service,Ladner,
778,264,Allstream Inc.,8304,In Service,North Vancouver,
778,265,Shaw Telecom Inc.,497E,In Service,Victoria,
778,266,TELUS Mobility,8301,In Service,Squamish,
778,267,TELUS Mobility,8301,In Service,Williams Lake,
778,268,Bell Mobility,6574,In Service,Nanaimo,
778,269,Bell Mobility,6574,In Service,Nanaimo,
778,270,Bell West Inc.,2933,In Service,Nelson,
778,271,Bell West Inc.,2933,In Service,Terrace,
778,272,Bell West Inc.,2933,In Service,Port Moody,
778,273,Bell West Inc.,2933,In Service,Dawson Creek,
778,274,Bell West Inc.,2933,In Service,Trail,
778,275,Bell West Inc.,2933,In Service,Duncan,
778,276,Bell West Inc.,2933,In Service,Gibsons,
778,277,Shaw Telecom Inc.,497E,In Service,Langley,
778,278,Shaw Telecom Inc.,497E,In Service,Langley,
778,279,Shaw Telecom Inc.,497E,In Service,West Vancouver,
778,280,Bell West Inc.,2933,In Service,West Vancouver,
778,281,Bell Mobility,6574,In Service,Prince George,
778,282,GT Group Telecom Services Corp.,8506,In Service,Richmond,
778,283,Bell West Inc.,2933,In Service,Salmon Arm,
778,284,Bell West Inc.,2933,In Service,Port Coquitlam,
778,285,Shaw Telecom Inc.,497E,In Service,Port Coquitlam,
778,286,Bell West Inc.,2933,In Service,Yarrow,
778,287,Bell West Inc.,2933,In Service,Sardis,
778,288,Rogers Communications Canada Inc. (Wireless),8821,In Service,Vancouver,
778,289,Bell West Inc.,2933,In Service,Fort Langley,
778,290,Bell West Inc.,2933,In Service,Whalley,
778,291,Shaw Telecom Inc.,497E,In Service,White Rock,
778,292,Bell West Inc.,2933,In Service,White Rock,
