NPA,CO Code (NXX),Company,OCN,Status,Rate Center,Remarks
,,,,,,2018-11-05
579,200,TELUS Quebec,2243,In Service,Lachute,
579,201,TELUS Quebec,2243,In Service,St-Sauveur,
579,202,TELUS Quebec,2243,In Service,Ste-Adele,
579,203,TELUS Quebec,2243,In Service,Brownsburg,
579,204,TELUS Quebec,2243,In Service,Ste-Rose,
579,205,TELUS Quebec,2243,In Service,Yamaska,
579,206,TELUS Quebec,2243,In Service,Pierreville,
579,207,TELUS Quebec,2243,In Service,St-Barthelemy,
579,208,TELUS Quebec,2243,In Service,Berthierville,
579,209,TELUS Quebec,2243,In Service,Farnham,
579,210,TELUS Quebec,2243,In Service,Vercheres,
579,211,,,For Special Use,,Public Information and Referral Services
579,212,TELUS Quebec,2243,In Service,Cowansville,
579,213,TELUS Quebec,2243,In Service,Granby,
579,214,TELUS Quebec,2243,In Service,Longueuil,
579,215,TELUS Quebec,2243,In Service,Boucherville,
579,216,TELUS Quebec,2243,In Service,Cowansville,
579,217,TELUS Quebec,2243,In Service,Vaudreuil,
579,218,TELUS Quebec,2243,In Service,Laval-Est,
579,219,TELUS Quebec,2243,In Service,Laval-Ouest,
579,220,TELUS Quebec,2243,In Service,Chambly,
579,221,TELUS Quebec,2243,In Service,Laprairie,
579,222,TELUS Quebec,2243,In Service,Marieville,
579,223,TELUS Quebec,2243,In Service,St-Bruno,
579,224,TELUS Quebec,2243,In Service,St-Jean,
579,225,TELUS Quebec,2243,In Service,St-Hyacinthe,
579,226,TELUS Quebec,2243,In Service,Ste-Therese,
579,227,TELUS Quebec,2243,In Service,Rigaud,
579,228,TELUS Quebec,2243,In Service,Ste-Rosalie,
579,229,TELUS Quebec,2243,In Service,Beloeil,
579,230,TELUS Quebec,2243,In Service,Boucherville,
579,231,TELUS Quebec,2243,In Service,Chomedey,
579,232,TELUS Quebec,2243,In Service,Granby,
579,233,TELUS Quebec,2243,In Service,Le Gardeur,
579,234,TELUS Quebec,2243,In Service,Longueuil,
579,235,TELUS Quebec,2243,In Service,Mascouche,
579,236,TELUS Quebec,2243,In Service,Pont-Viau,
579,237,TELUS Quebec,2243,In Service,Ste-Rose,
579,238,TELUS Quebec,2243,In Service,Ste-Therese,
579,239,TELUS Quebec,2243,In Service,St-Hyacinthe,
579,240,TELUS Quebec,2243,In Service,St-Jerome,
579,241,TELUS Quebec,2243,In Service,St-Lambert,
579,242,TELUS Quebec,2243,In Service,St-Vincent-de-Paul,
579,243,TELUS Quebec,2243,In Service,Sorel,
579,244,TELUS Quebec,2243,In Service,Joliette,
579,245,TELUS Quebec,2243,In Service,Saint-Liboire,
579,246,TELUS Quebec,2243,In Service,Valcourt,
579,247,TELUS Quebec,2243,In Service,Roxton Falls,
579,248,TELUS Quebec,2243,In Service,Joliette,
579,249,TELUS Quebec,2243,In Service,Sorel,
579,250,TELUS Quebec,2243,In Service,Valleyfield,
